B	eps
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0981	-0.00303766
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.0975	-0.00221886
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.101	-0.000607729
10.1	-0.00186938
10.1	-0.00186938
10.1	-0.00186938
10.1	-0.00186938
10.1	-0.00186938
10.1	-0.00186938
10.102	-0.000557605
10.102	-0.000557605
