B	alpha
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.1018	1.12792
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0957	1.12668
10.0955	1.12671
10.0955	1.12671
10.0955	1.12671
10.0955	1.12671
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.1012	1.12803
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.09	1.12551
10.0988	1.12724
10.0988	1.12724
10.0988	1.12724
10.0988	1.12724
10.0988	1.12724
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.097	1.12692
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0944	1.12646
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0948	1.12645
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0967	1.12703
10.0992	1.1275
10.0992	1.1275
10.0986	1.12754
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0937	1.12634
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0942	1.12627
10.0968	1.127
10.0968	1.127
10.0968	1.127
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0995	1.12753
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0996	1.1275
10.0974	1.12697
10.0974	1.12697
10.0974	1.12697
10.0974	1.12697
10.0974	1.12697
10.0974	1.12697
10.1011	1.12793
10.1011	1.12793
10.1011	1.12793
10.1011	1.12793
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0959	1.12677
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.0936	1.12618
10.097	1.12705
10.097	1.12705
10.097	1.12705
10.0981	1.12721
10.0981	1.12721
10.0981	1.12721
10.0981	1.12721
10.0981	1.12721
10.0981	1.12721
10.0981	1.12721
10.0981	1.1273
10.0981	1.1273
10.0981	1.1273
10.0981	1.1273
10.0981	1.1273
10.0981	1.1273
10.0981	1.1273
10.0981	1.1273
10.098	1.12702
10.098	1.12702
10.098	1.12702
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.0986	1.12713
10.099	1.12724
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.098	1.12721
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0939	1.12615
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
10.0977	1.12714
